,Date,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,Handedness
0,2018-03-29,CHW,47,14.9%,14.9%,1.0,.359,.468,.897,1.366,.538,.308,15,9.0,.550,262,Vs. All
1,2018-03-29,NYM,44,20.5%,18.2%,1.1,.364,.512,.424,.936,.061,.480,9,3.6,.424,169,Vs. All
2,2018-03-29,CHC,44,11.4%,22.7%,0.5,.257,.395,.629,1.024,.371,.273,9,3.7,.416,167,Vs. All
3,2018-03-29,NYY,40,5.0%,22.5%,0.2,.289,.325,.632,.957,.342,.308,7,2.8,.399,156,Vs. All
4,2018-03-29,ATL,40,10.0%,15.0%,0.7,.265,.359,.559,.918,.294,.240,7,2.5,.382,149,Vs. All
5,2018-03-29,ARI,42,14.3%,26.2%,0.5,.333,.429,.444,.873,.111,.480,7,2.4,.384,142,Vs. All
6,2018-03-29,LAA,47,2.1%,14.9%,0.1,.283,.298,.565,.863,.283,.278,7,1.8,.362,138,Vs. All
7,2018-03-29,OAK,47,10.6%,23.4%,0.5,.286,.362,.500,.862,.214,.345,7,1.8,.363,132,Vs. All
8,2018-03-29,HOU,37,16.2%,35.1%,0.5,.200,.324,.467,.791,.267,.250,5,0.7,.337,118,Vs. All
9,2018-03-29,MIA,40,15.0%,17.5%,0.9,.242,.375,.364,.739,.121,.308,5,0.6,.333,115,Vs. All
10,2018-03-29,PHI,38,15.8%,28.9%,0.5,.194,.342,.355,.697,.161,.263,4,0.1,.316,101,Vs. All
11,2018-03-29,BOS,35,5.7%,17.1%,0.3,.242,.286,.455,.740,.212,.269,4,0.0,.315,98,Vs. All
12,2018-03-29,KCR,39,5.1%,5.1%,1.0,.250,.308,.417,.724,.167,.242,5,-0.0,.315,96,Vs. All
13,2018-03-29,COL,36,5.6%,33.3%,0.2,.273,.314,.455,.769,.182,.368,4,0.2,.331,92,Vs. All
14,2018-03-29,SFG,36,5.6%,30.6%,0.2,.235,.278,.382,.660,.147,.318,3,-0.8,.286,82,Vs. All
15,2018-03-29,TBR,35,20.0%,31.4%,0.6,.143,.314,.250,.564,.107,.235,3,-1.3,.269,72,Vs. All
16,2018-03-29,SEA,29,3.4%,27.6%,0.1,.214,.241,.357,.599,.143,.263,2,-1.3,.258,71,Vs. All
17,2018-03-29,STL,34,2.9%,44.1%,0.1,.182,.206,.394,.600,.212,.250,2,-1.7,.254,64,Vs. All
18,2018-03-29,MIL,45,4.4%,20.0%,0.2,.238,.289,.286,.575,.048,.303,3,-2.1,.258,61,Vs. All
19,2018-03-29,LAD,36,13.9%,27.8%,0.5,.194,.306,.194,.499,.000,.286,2,-2.1,.242,57,Vs. All
20,2018-03-29,BAL,40,12.5%,32.5%,0.4,.147,.256,.324,.580,.176,.200,2,-2.8,.235,48,Vs. All
21,2018-03-29,CLE,35,5.7%,22.9%,0.3,.167,.265,.200,.465,.033,.227,2,-2.4,.223,46,Vs. All
22,2018-03-29,TEX,34,5.9%,26.5%,0.2,.194,.265,.226,.491,.032,.273,2,-2.4,.228,42,Vs. All
23,2018-03-29,MIN,43,7.0%,25.6%,0.3,.200,.256,.200,.456,.000,.276,1,-3.6,.212,29,Vs. All
24,2018-03-29,SDP,45,13.3%,33.3%,0.4,.154,.267,.154,.421,.000,.250,1,-4.4,.198,22,Vs. All
25,2018-03-29,TOR,32,9.4%,37.5%,0.3,.069,.156,.172,.329,.103,.063,-0,-4.2,.156,-1,Vs. All
0,2018-03-30,CHW,47,14.9%,14.9%,1.0,.359,.468,.897,1.366,.538,.308,15,9.0,.550,262,Vs. All
1,2018-03-30,NYM,44,20.5%,18.2%,1.1,.364,.512,.424,.936,.061,.480,9,3.6,.424,169,Vs. All
2,2018-03-30,PIT,58,6.9%,17.2%,0.4,.327,.368,.481,.849,.154,.381,9,2.6,.363,136,Vs. All
3,2018-03-30,ARI,80,13.8%,25.0%,0.6,.294,.400,.441,.841,.147,.404,13,3.6,.369,132,Vs. All
4,2018-03-30,NYY,77,7.8%,19.5%,0.4,.268,.325,.521,.846,.254,.302,12,2.7,.358,127,Vs. All
5,2018-03-30,DET,62,14.5%,14.5%,1.0,.264,.371,.396,.767,.132,.318,9,1.3,.340,116,Vs. All
6,2018-03-30,COL,77,9.1%,29.9%,0.3,.275,.342,.507,.849,.232,.341,12,2.8,.364,114,Vs. All
7,2018-03-30,ATL,86,10.5%,17.4%,0.6,.254,.357,.423,.780,.169,.278,12,1.5,.338,110,Vs. All
8,2018-03-30,PHI,86,12.8%,24.4%,0.5,.225,.329,.408,.738,.183,.265,10,0.4,.321,100,Vs. All
9,2018-03-30,OAK,83,7.2%,22.9%,0.3,.253,.325,.387,.712,.133,.315,9,-0.3,.309,98,Vs. All
10,2018-03-30,KCR,39,5.1%,5.1%,1.0,.250,.308,.417,.724,.167,.242,5,-0.0,.315,96,Vs. All
11,2018-03-30,LAA,79,1.3%,17.7%,0.1,.244,.253,.449,.702,.205,.250,8,-1.2,.297,90,Vs. All
12,2018-03-30,SDP,87,11.5%,25.3%,0.5,.237,.333,.342,.675,.105,.308,9,-1.3,.300,87,Vs. All
13,2018-03-30,HOU,73,15.1%,26.0%,0.6,.180,.301,.344,.646,.164,.220,7,-1.6,.288,84,Vs. All
14,2018-03-30,CHC,111,11.7%,27.0%,0.4,.183,.309,.376,.685,.194,.220,11,-2.1,.295,81,Vs. All
15,2018-03-30,TEX,69,5.8%,21.7%,0.3,.258,.304,.371,.675,.113,.313,7,-1.3,.292,80,Vs. All
16,2018-03-30,MIL,85,3.5%,15.3%,0.2,.266,.298,.380,.677,.114,.303,8,-1.7,.293,79,Vs. All
17,2018-03-30,MIA,110,12.7%,19.1%,0.7,.213,.327,.255,.583,.043,.274,9,-3.7,.274,75,Vs. All
18,2018-03-30,BOS,69,5.8%,17.4%,0.3,.231,.275,.369,.645,.138,.269,6,-2.0,.280,74,Vs. All
19,2018-03-30,SEA,29,3.4%,27.6%,0.1,.214,.241,.357,.599,.143,.263,2,-1.3,.258,71,Vs. All
20,2018-03-30,STL,34,2.9%,44.1%,0.1,.182,.206,.394,.600,.212,.250,2,-1.7,.254,64,Vs. All
21,2018-03-30,BAL,40,12.5%,32.5%,0.4,.147,.256,.324,.580,.176,.200,2,-2.8,.235,48,Vs. All
22,2018-03-30,CLE,35,5.7%,22.9%,0.3,.167,.265,.200,.465,.033,.227,2,-2.4,.223,46,Vs. All
23,2018-03-30,WSN,37,10.8%,16.2%,0.7,.188,.270,.219,.489,.031,.222,2,-2.6,.227,39,Vs. All
24,2018-03-30,CIN,36,5.6%,38.9%,0.1,.206,.250,.235,.485,.029,.350,1,-2.8,.220,38,Vs. All
25,2018-03-30,MIN,43,7.0%,25.6%,0.3,.200,.256,.200,.456,.000,.276,1,-3.6,.212,29,Vs. All
26,2018-03-30,SFG,68,2.9%,23.5%,0.1,.154,.179,.277,.456,.123,.170,2,-6.1,.197,28,Vs. All
27,2018-03-30,TBR,66,12.1%,30.3%,0.4,.138,.242,.190,.432,.052,.211,2,-5.8,.206,27,Vs. All
28,2018-03-30,TOR,65,6.2%,36.9%,0.2,.115,.169,.279,.448,.164,.143,1,-6.3,.195,21,Vs. All
29,2018-03-30,LAD,63,7.9%,28.6%,0.3,.121,.190,.121,.311,.000,.175,-1,-8.3,.152,-4,Vs. All
0,2018-03-31,CHW,84,11.9%,17.9%,0.7,.301,.393,.644,1.037,.342,.294,18,8.2,.434,181,Vs. All
1,2018-03-31,NYM,84,16.7%,15.5%,1.1,.348,.470,.515,.985,.167,.404,17,7.3,.424,173,Vs. All
2,2018-03-31,ATL,137,10.2%,14.6%,0.7,.325,.406,.518,.924,.193,.359,24,7.7,.391,142,Vs. All
3,2018-03-31,PIT,58,6.9%,17.2%,0.4,.327,.368,.481,.849,.154,.381,9,2.6,.363,136,Vs. All
4,2018-03-31,WSN,82,9.8%,17.1%,0.6,.286,.354,.500,.854,.214,.291,12,2.6,.356,121,Vs. All
5,2018-03-31,HOU,118,12.7%,23.7%,0.5,.248,.339,.446,.785,.198,.296,16,2.2,.338,118,Vs. All
6,2018-03-31,DET,62,14.5%,14.5%,1.0,.264,.371,.396,.767,.132,.318,9,1.3,.340,116,Vs. All
7,2018-03-31,NYY,111,9.0%,17.1%,0.5,.228,.297,.485,.782,.257,.234,15,1.6,.332,109,Vs. All
8,2018-03-31,ARI,114,14.0%,24.6%,0.6,.258,.368,.371,.740,.113,.353,15,1.5,.331,107,Vs. All
9,2018-03-31,LAA,122,1.6%,16.4%,0.1,.261,.279,.462,.741,.202,.284,14,-0.1,.314,101,Vs. All
10,2018-03-31,CHC,159,11.3%,25.8%,0.4,.224,.331,.410,.742,.187,.281,19,0.2,.318,97,Vs. All
11,2018-03-31,SEA,66,3.0%,24.2%,0.1,.250,.273,.422,.695,.172,.289,7,-0.8,.292,97,Vs. All
12,2018-03-31,OAK,122,9.0%,23.0%,0.4,.248,.328,.376,.704,.128,.316,14,-0.7,.308,96,Vs. All
13,2018-03-31,MIL,130,6.9%,16.9%,0.4,.280,.333,.381,.715,.102,.333,15,-0.6,.310,92,Vs. All
14,2018-03-31,COL,110,6.4%,30.9%,0.2,.245,.294,.471,.764,.225,.295,14,0.8,.327,91,Vs. All
15,2018-03-31,CIN,78,5.1%,32.1%,0.2,.260,.295,.411,.706,.151,.348,8,-0.7,.303,90,Vs. All
16,2018-03-31,PHI,122,12.3%,24.6%,0.5,.216,.317,.373,.689,.157,.268,13,-1.5,.304,87,Vs. All
17,2018-03-31,MIN,81,8.6%,24.7%,0.3,.230,.296,.392,.688,.162,.275,9,-0.9,.300,86,Vs. All
18,2018-03-31,BOS,108,9.3%,15.7%,0.6,.224,.296,.388,.684,.163,.253,11,-1.4,.298,84,Vs. All
19,2018-03-31,MIA,152,11.2%,18.4%,0.6,.229,.336,.282,.618,.053,.284,14,-3.5,.287,83,Vs. All
20,2018-03-31,SDP,119,9.2%,25.2%,0.4,.224,.303,.364,.667,.140,.284,11,-2.5,.291,82,Vs. All
21,2018-03-31,KCR,77,9.1%,9.1%,1.0,.224,.312,.343,.655,.119,.233,8,-1.5,.291,81,Vs. All
22,2018-03-31,TEX,105,7.6%,26.7%,0.3,.223,.286,.340,.626,.117,.288,9,-3.4,.275,68,Vs. All
23,2018-03-31,STL,71,5.6%,38.0%,0.1,.194,.239,.343,.583,.149,.270,5,-3.5,.254,61,Vs. All
24,2018-03-31,CLE,72,8.3%,22.2%,0.4,.175,.268,.302,.569,.127,.200,5,-3.3,.258,60,Vs. All
25,2018-03-31,TOR,101,7.9%,32.7%,0.2,.172,.238,.333,.571,.161,.228,6,-5.3,.250,58,Vs. All
26,2018-03-31,BAL,77,15.6%,31.2%,0.5,.125,.263,.281,.544,.156,.158,4,-4.6,.239,51,Vs. All
27,2018-03-31,TBR,103,10.7%,26.2%,0.4,.176,.262,.253,.515,.077,.234,5,-6.7,.235,47,Vs. All
28,2018-03-31,SFG,105,4.8%,25.7%,0.2,.192,.231,.283,.514,.091,.243,5,-7.3,.227,44,Vs. All
29,2018-03-31,LAD,94,8.5%,24.5%,0.3,.131,.202,.167,.369,.036,.175,0,-10.9,.173,8,Vs. All
0,2018-04-01,CHW,84,11.9%,17.9%,0.7,.301,.393,.644,1.037,.342,.294,18,8.2,.434,181,Vs. All
1,2018-04-01,ATL,137,10.2%,14.6%,0.7,.325,.406,.518,.924,.193,.359,24,7.7,.391,142,Vs. All
2,2018-04-01,NYM,120,14.2%,17.5%,0.8,.306,.415,.429,.844,.122,.368,19,5.0,.371,136,Vs. All
3,2018-04-01,WSN,123,11.4%,16.3%,0.7,.269,.358,.529,.887,.260,.253,19,5.0,.369,129,Vs. All
4,2018-04-01,HOU,161,10.6%,24.2%,0.4,.271,.348,.464,.812,.193,.340,23,4.3,.348,124,Vs. All
5,2018-04-01,SEA,103,5.8%,23.3%,0.3,.253,.304,.474,.778,.221,.288,14,1.7,.329,119,Vs. All
6,2018-04-01,PIT,129,7.0%,18.6%,0.4,.284,.336,.466,.801,.181,.322,18,3.0,.342,117,Vs. All
7,2018-04-01,MIN,122,8.2%,24.6%,0.3,.241,.303,.473,.776,.232,.267,16,1.8,.332,108,Vs. All
8,2018-04-01,LAA,162,2.5%,14.2%,0.2,.282,.302,.462,.764,.179,.308,20,1.3,.325,108,Vs. All
9,2018-04-01,ARI,114,14.0%,24.6%,0.6,.258,.368,.371,.740,.113,.353,15,1.5,.331,107,Vs. All
10,2018-04-01,DET,135,12.6%,17.0%,0.7,.237,.333,.398,.732,.161,.287,16,0.7,.321,103,Vs. All
11,2018-04-01,STL,113,9.7%,31.0%,0.3,.218,.301,.416,.717,.198,.267,13,-0.2,.312,97,Vs. All
12,2018-04-01,NYY,150,10.7%,20.7%,0.5,.209,.293,.433,.726,.224,.227,17,-0.2,.313,96,Vs. All
13,2018-04-01,CIN,115,6.1%,28.7%,0.2,.248,.304,.410,.714,.162,.319,13,-0.5,.309,93,Vs. All
14,2018-04-01,MIL,130,6.9%,16.9%,0.4,.280,.333,.381,.715,.102,.333,15,-0.6,.310,92,Vs. All
15,2018-04-01,COL,110,6.4%,30.9%,0.2,.245,.294,.471,.764,.225,.295,14,0.8,.327,91,Vs. All
16,2018-04-01,CHC,196,9.7%,24.0%,0.4,.225,.320,.385,.704,.160,.280,21,-1.9,.305,89,Vs. All
17,2018-04-01,OAK,158,10.1%,22.8%,0.4,.229,.316,.350,.666,.121,.287,16,-2.5,.295,87,Vs. All
18,2018-04-01,PHI,122,12.3%,24.6%,0.5,.216,.317,.373,.689,.157,.268,13,-1.5,.304,87,Vs. All
19,2018-04-01,MIA,188,11.7%,17.6%,0.7,.236,.342,.304,.647,.068,.291,19,-3.3,.295,87,Vs. All
20,2018-04-01,TOR,141,9.2%,31.9%,0.3,.219,.291,.391,.681,.172,.295,14,-2.3,.295,85,Vs. All
21,2018-04-01,SDP,119,9.2%,25.2%,0.4,.224,.303,.364,.667,.140,.284,11,-2.5,.291,82,Vs. All
22,2018-04-01,KCR,77,9.1%,9.1%,1.0,.224,.312,.343,.655,.119,.233,8,-1.5,.291,81,Vs. All
23,2018-04-01,BOS,148,9.5%,15.5%,0.6,.214,.304,.336,.640,.122,.245,14,-3.4,.287,75,Vs. All
24,2018-04-01,CLE,109,8.3%,22.0%,0.4,.186,.269,.340,.609,.155,.203,9,-4.0,.266,66,Vs. All
25,2018-04-01,TEX,138,8.0%,29.0%,0.3,.202,.268,.347,.615,.145,.256,11,-5.2,.269,64,Vs. All
26,2018-04-01,TBR,140,9.3%,25.7%,0.4,.190,.264,.278,.542,.087,.247,8,-8.1,.244,52,Vs. All
27,2018-04-01,LAD,131,6.1%,22.9%,0.3,.200,.252,.275,.527,.075,.253,7,-8.6,.234,48,Vs. All
28,2018-04-01,SFG,140,5.7%,24.3%,0.2,.192,.239,.277,.516,.085,.245,6,-10.1,.226,42,Vs. All
29,2018-04-01,BAL,108,12.0%,27.8%,0.4,.117,.224,.234,.458,.117,.145,3,-9.5,.203,24,Vs. All
0,2018-04-02,CHW,119,10.9%,21.0%,0.5,.272,.370,.583,.952,.311,.275,22,8.6,.403,159,Vs. All
1,2018-04-02,NYM,120,14.2%,17.5%,0.8,.306,.415,.429,.844,.122,.368,19,5.0,.371,136,Vs. All
2,2018-04-02,HOU,201,10.9%,22.4%,0.5,.283,.363,.486,.849,.202,.346,31,7.7,.362,134,Vs. All
3,2018-04-02,WSN,171,14.0%,17.5%,0.8,.270,.380,.504,.884,.234,.276,28,7.6,.373,132,Vs. All
4,2018-04-02,SEA,103,5.8%,23.3%,0.3,.253,.304,.474,.778,.221,.288,14,1.7,.329,119,Vs. All
5,2018-04-02,PIT,168,11.9%,17.9%,0.7,.266,.355,.441,.796,.175,.300,24,4.3,.343,119,Vs. All
6,2018-04-02,ARI,177,14.7%,22.0%,0.7,.260,.373,.407,.780,.147,.339,25,3.9,.343,113,Vs. All
7,2018-04-02,COL,154,8.4%,24.0%,0.4,.266,.327,.525,.852,.259,.290,24,5.5,.361,113,Vs. All
8,2018-04-02,ATL,168,8.9%,17.3%,0.5,.285,.360,.438,.797,.153,.327,23,3.2,.342,111,Vs. All
9,2018-04-02,STL,153,7.8%,28.1%,0.3,.254,.320,.449,.770,.196,.307,20,2.2,.332,110,Vs. All
10,2018-04-02,MIN,159,8.2%,25.2%,0.3,.234,.302,.455,.757,.221,.268,20,1.4,.325,104,Vs. All
11,2018-04-02,DET,173,11.6%,16.8%,0.7,.250,.335,.401,.737,.151,.301,21,0.4,.317,99,Vs. All
12,2018-04-02,SDP,160,10.0%,23.8%,0.4,.225,.313,.408,.721,.183,.273,18,-0.6,.312,96,Vs. All
13,2018-04-02,NYY,150,10.7%,20.7%,0.5,.209,.293,.433,.726,.224,.227,17,-0.2,.313,96,Vs. All
14,2018-04-02,LAA,199,3.0%,15.1%,0.2,.265,.296,.418,.714,.153,.295,22,-1.3,.307,96,Vs. All
15,2018-04-02,MIL,166,6.0%,18.7%,0.3,.268,.315,.418,.733,.150,.311,19,-0.1,.315,95,Vs. All
16,2018-04-02,OAK,192,9.9%,22.4%,0.4,.240,.323,.368,.691,.129,.298,21,-1.6,.304,93,Vs. All
17,2018-04-02,MIA,228,11.0%,17.5%,0.6,.244,.344,.320,.663,.076,.297,24,-2.9,.301,91,Vs. All
18,2018-04-02,BOS,189,9.0%,15.3%,0.6,.237,.317,.385,.702,.148,.265,21,-0.8,.309,90,Vs. All
19,2018-04-02,PHI,122,12.3%,24.6%,0.5,.216,.317,.373,.689,.157,.268,13,-1.5,.304,87,Vs. All
20,2018-04-02,CIN,150,8.7%,26.7%,0.3,.233,.309,.383,.692,.150,.300,16,-1.7,.303,87,Vs. All
21,2018-04-02,TOR,173,9.8%,29.5%,0.3,.205,.283,.404,.687,.199,.247,18,-2.6,.296,86,Vs. All
22,2018-04-02,CHC,229,10.5%,25.3%,0.4,.204,.308,.352,.660,.148,.261,22,-5.0,.290,79,Vs. All
23,2018-04-02,CLE,149,10.1%,21.5%,0.5,.191,.284,.382,.665,.191,.196,15,-2.8,.290,78,Vs. All
24,2018-04-02,LAD,202,7.9%,20.3%,0.4,.238,.300,.331,.631,.094,.288,17,-6.6,.278,74,Vs. All
25,2018-04-02,KCR,110,8.2%,10.0%,0.8,.206,.282,.320,.601,.113,.218,8,-4.4,.266,63,Vs. All
26,2018-04-02,TEX,177,8.5%,28.8%,0.3,.201,.271,.314,.586,.113,.264,13,-7.9,.260,56,Vs. All
27,2018-04-02,TBR,140,9.3%,25.7%,0.4,.190,.264,.278,.542,.087,.247,8,-8.1,.244,52,Vs. All
28,2018-04-02,SFG,140,5.7%,24.3%,0.2,.192,.239,.277,.516,.085,.245,6,-10.1,.226,42,Vs. All
29,2018-04-02,BAL,144,10.4%,27.1%,0.4,.134,.231,.260,.491,.126,.165,6,-11.2,.217,33,Vs. All
0,2018-04-03,CHW,159,9.4%,24.5%,0.4,.271,.358,.564,.923,.293,.292,29,10.0,.392,152,Vs. All
1,2018-04-03,HOU,239,10.5%,23.4%,0.4,.288,.368,.507,.876,.220,.349,39,11.1,.372,141,Vs. All
2,2018-04-03,WSN,213,14.1%,16.4%,0.9,.266,.376,.508,.884,.243,.263,35,9.9,.374,133,Vs. All
3,2018-04-03,ATL,212,9.4%,17.9%,0.5,.311,.388,.489,.877,.178,.362,34,9.2,.375,131,Vs. All
4,2018-04-03,SEA,144,7.6%,21.5%,0.4,.279,.338,.457,.795,.178,.330,20,3.0,.340,121,Vs. All
5,2018-04-03,NYM,153,11.8%,19.0%,0.6,.289,.391,.391,.781,.102,.357,21,3.5,.347,121,Vs. All
6,2018-04-03,PIT,168,11.9%,17.9%,0.7,.266,.355,.441,.796,.175,.300,24,4.3,.343,119,Vs. All
7,2018-04-03,LAA,238,3.8%,14.7%,0.3,.280,.315,.484,.800,.204,.297,33,5.0,.341,119,Vs. All
8,2018-04-03,ARI,215,14.4%,21.9%,0.7,.257,.367,.426,.794,.169,.321,31,5.6,.347,116,Vs. All
9,2018-04-03,TOR,218,10.1%,26.1%,0.4,.242,.321,.479,.800,.237,.289,30,4.3,.339,115,Vs. All
10,2018-04-03,STL,192,6.8%,26.0%,0.3,.257,.318,.469,.786,.211,.296,26,3.6,.338,114,Vs. All
11,2018-04-03,NYY,191,11.5%,23.6%,0.5,.232,.321,.458,.779,.226,.270,26,3.2,.336,111,Vs. All
12,2018-04-03,SDP,196,10.2%,23.0%,0.4,.231,.321,.439,.761,.208,.267,25,1.9,.328,107,Vs. All
13,2018-04-03,MIL,205,5.9%,21.5%,0.3,.279,.324,.442,.766,.163,.333,26,2.0,.328,104,Vs. All
14,2018-04-03,MIN,159,8.2%,25.2%,0.3,.234,.302,.455,.757,.221,.268,20,1.4,.325,104,Vs. All
15,2018-04-03,COL,190,9.5%,22.1%,0.4,.253,.323,.476,.799,.224,.277,26,4.0,.342,100,Vs. All
16,2018-04-03,OAK,230,9.6%,24.3%,0.4,.239,.322,.366,.688,.127,.306,25,-2.1,.304,92,Vs. All
17,2018-04-03,CIN,150,8.7%,26.7%,0.3,.233,.309,.383,.692,.150,.300,16,-1.7,.303,87,Vs. All
18,2018-04-03,MIA,277,10.5%,20.2%,0.5,.236,.330,.306,.635,.070,.299,26,-6.2,.289,83,Vs. All
19,2018-04-03,BOS,239,7.9%,15.9%,0.5,.240,.310,.373,.683,.134,.274,25,-3.1,.299,83,Vs. All
20,2018-04-03,CHC,229,10.5%,25.3%,0.4,.204,.308,.352,.660,.148,.261,22,-5.0,.290,79,Vs. All
21,2018-04-03,DET,204,10.3%,18.1%,0.6,.225,.304,.352,.656,.126,.276,19,-4.9,.285,77,Vs. All
22,2018-04-03,LAD,234,7.3%,19.2%,0.4,.224,.281,.314,.596,.090,.267,17,-10.3,.262,64,Vs. All
23,2018-04-03,TEX,211,8.1%,25.1%,0.3,.220,.284,.340,.625,.120,.274,18,-6.8,.275,64,Vs. All
24,2018-04-03,PHI,156,11.5%,26.3%,0.4,.188,.286,.308,.594,.120,.242,12,-6.4,.267,63,Vs. All
25,2018-04-03,CLE,183,10.4%,24.0%,0.4,.163,.264,.338,.601,.175,.167,14,-7.1,.266,62,Vs. All
26,2018-04-03,BAL,185,9.2%,28.1%,0.3,.176,.255,.327,.583,.152,.220,12,-9.2,.253,56,Vs. All
27,2018-04-03,TBR,177,9.6%,26.6%,0.4,.195,.271,.277,.548,.082,.261,11,-9.7,.248,55,Vs. All
28,2018-04-03,SFG,174,4.6%,21.8%,0.2,.209,.244,.319,.563,.110,.246,10,-10.2,.243,51,Vs. All
29,2018-04-03,KCR,142,7.0%,9.9%,0.7,.197,.261,.291,.552,.094,.209,8,-8.1,.244,49,Vs. All
0,2018-04-04,CHW,195,8.7%,25.6%,0.3,.269,.359,.550,.909,.281,.299,34,11.6,.387,149,Vs. All
1,2018-04-04,HOU,273,10.3%,24.2%,0.4,.281,.360,.477,.837,.196,.349,42,9.7,.358,131,Vs. All
2,2018-04-04,ATL,248,9.7%,19.8%,0.5,.297,.376,.481,.857,.184,.354,39,9.7,.367,127,Vs. All
3,2018-04-04,WSN,253,14.2%,18.6%,0.8,.254,.372,.464,.836,.211,.268,38,8.7,.359,123,Vs. All
4,2018-04-04,NYM,187,12.8%,19.3%,0.7,.271,.384,.387,.771,.116,.333,26,3.8,.343,119,Vs. All
5,2018-04-04,SEA,182,8.2%,19.8%,0.4,.282,.344,.436,.780,.153,.333,25,3.3,.337,118,Vs. All
6,2018-04-04,PIT,206,11.7%,17.5%,0.7,.260,.348,.424,.772,.164,.292,28,3.6,.335,112,Vs. All
7,2018-04-04,STL,231,7.4%,25.5%,0.3,.258,.320,.459,.780,.201,.300,31,3.8,.335,112,Vs. All
8,2018-04-04,NYY,225,11.1%,24.9%,0.4,.231,.317,.467,.784,.236,.265,30,4.0,.337,112,Vs. All
9,2018-04-04,ARI,244,12.7%,22.1%,0.6,.257,.354,.424,.778,.167,.322,33,4.7,.338,110,Vs. All
10,2018-04-04,LAA,284,4.6%,16.2%,0.3,.259,.303,.455,.758,.195,.276,35,2.2,.324,108,Vs. All
11,2018-04-04,MIN,198,8.6%,24.2%,0.4,.240,.308,.464,.772,.223,.276,26,2.5,.330,107,Vs. All
12,2018-04-04,TOR,253,9.1%,26.5%,0.3,.232,.304,.443,.747,.211,.283,30,0.8,.318,101,Vs. All
13,2018-04-04,OAK,268,10.1%,24.6%,0.4,.246,.332,.373,.705,.127,.319,31,-0.8,.311,98,Vs. All
14,2018-04-04,SDP,231,9.5%,22.5%,0.4,.224,.312,.405,.717,.180,.262,26,-0.8,.312,96,Vs. All
15,2018-04-04,COL,228,9.2%,23.2%,0.4,.254,.322,.449,.770,.195,.294,29,2.7,.331,94,Vs. All
16,2018-04-04,MIL,239,5.9%,22.6%,0.3,.262,.311,.403,.714,.140,.321,27,-1.4,.308,91,Vs. All
17,2018-04-04,CIN,150,8.7%,26.7%,0.3,.233,.309,.383,.692,.150,.300,16,-1.7,.303,87,Vs. All
18,2018-04-04,MIA,277,10.5%,20.2%,0.5,.236,.330,.306,.635,.070,.299,26,-6.2,.289,83,Vs. All
19,2018-04-04,BOS,239,7.9%,15.9%,0.5,.240,.310,.373,.683,.134,.274,25,-3.1,.299,83,Vs. All
20,2018-04-04,SFG,217,6.9%,19.4%,0.4,.234,.285,.386,.671,.152,.255,20,-4.9,.289,81,Vs. All
21,2018-04-04,CHC,229,10.5%,25.3%,0.4,.204,.308,.352,.660,.148,.261,22,-5.0,.290,79,Vs. All
22,2018-04-04,DET,204,10.3%,18.1%,0.6,.225,.304,.352,.656,.126,.276,19,-4.9,.285,77,Vs. All
23,2018-04-04,TEX,242,7.4%,23.6%,0.3,.209,.273,.327,.600,.118,.252,19,-9.8,.265,58,Vs. All
24,2018-04-04,BAL,224,9.4%,27.7%,0.3,.185,.265,.315,.580,.130,.239,15,-11.2,.254,56,Vs. All
25,2018-04-04,PHI,189,10.6%,29.6%,0.4,.183,.273,.293,.565,.110,.252,13,-9.6,.255,55,Vs. All
26,2018-04-04,LAD,265,7.5%,22.6%,0.3,.202,.263,.286,.549,.084,.253,15,-15.5,.243,52,Vs. All
27,2018-04-04,CLE,234,10.7%,24.8%,0.4,.161,.262,.298,.559,.137,.180,15,-12.2,.250,51,Vs. All
28,2018-04-04,TBR,209,8.6%,26.8%,0.3,.196,.263,.270,.533,.074,.263,12,-12.7,.240,49,Vs. All
29,2018-04-04,KCR,142,7.0%,9.9%,0.7,.197,.261,.291,.552,.094,.209,8,-8.1,.244,49,Vs. All
0,2018-04-05,CHW,241,9.1%,25.7%,0.4,.271,.361,.538,.899,.267,.319,42,13.4,.383,146,Vs. All
1,2018-04-05,HOU,273,10.3%,24.2%,0.4,.281,.360,.477,.837,.196,.349,42,9.7,.358,131,Vs. All
2,2018-04-05,ATL,248,9.7%,19.8%,0.5,.297,.376,.481,.857,.184,.354,39,9.7,.367,127,Vs. All
3,2018-04-05,NYM,226,12.4%,20.4%,0.6,.265,.375,.418,.793,.153,.319,32,5.8,.349,123,Vs. All
4,2018-04-05,PIT,244,11.5%,16.4%,0.7,.262,.347,.438,.785,.176,.289,33,4.6,.337,114,Vs. All
5,2018-04-05,WSN,288,13.5%,20.1%,0.7,.245,.358,.440,.797,.195,.270,40,6.6,.344,113,Vs. All
6,2018-04-05,ARI,286,12.6%,22.0%,0.6,.258,.356,.422,.778,.164,.326,38,4.8,.337,109,Vs. All
7,2018-04-05,NYY,262,11.8%,24.4%,0.5,.219,.318,.447,.765,.228,.250,34,3.5,.331,108,Vs. All
8,2018-04-05,LAA,284,4.6%,16.2%,0.3,.259,.303,.455,.758,.195,.276,35,2.2,.324,108,Vs. All
